order_timestamp,day,month,year,quarter,weekday,date_id
2022-08-15T00:00:00.000Z,15,8,2022,3,2,157
2022-08-18T00:00:00.000Z,18,8,2022,3,5,158
2022-08-19T00:00:00.000Z,19,8,2022,3,6,159
2022-08-20T00:00:00.000Z,20,8,2022,3,7,160
2022-08-21T00:00:00.000Z,21,8,2022,3,1,161
2022-08-23T00:00:00.000Z,23,8,2022,3,3,162
2022-08-24T00:00:00.000Z,24,8,2022,3,4,163
2022-08-25T00:00:00.000Z,25,8,2022,3,5,164
2022-08-26T00:00:00.000Z,26,8,2022,3,6,165
2022-08-27T00:00:00.000Z,27,8,2022,3,7,166
2022-08-28T00:00:00.000Z,28,8,2022,3,1,167
2022-08-30T00:00:00.000Z,30,8,2022,3,3,168
2022-08-31T00:00:00.000Z,31,8,2022,3,4,169
2022-09-01T00:00:00.000Z,1,9,2022,3,5,170
2022-09-03T00:00:00.000Z,3,9,2022,3,7,171
2022-09-05T00:00:00.000Z,5,9,2022,3,2,172
2022-09-07T00:00:00.000Z,7,9,2022,3,4,173
2022-09-08T00:00:00.000Z,8,9,2022,3,5,174
2022-09-09T00:00:00.000Z,9,9,2022,3,6,175
2022-09-10T00:00:00.000Z,10,9,2022,3,7,176
2022-09-11T00:00:00.000Z,11,9,2022,3,1,177
2022-09-13T00:00:00.000Z,13,9,2022,3,3,178
2022-09-16T00:00:00.000Z,16,9,2022,3,6,179
2022-09-18T00:00:00.000Z,18,9,2022,3,1,180
2022-09-19T00:00:00.000Z,19,9,2022,3,2,181
2022-09-22T00:00:00.000Z,22,9,2022,3,5,182
2022-09-23T00:00:00.000Z,23,9,2022,3,6,183
2022-09-25T00:00:00.000Z,25,9,2022,3,1,184
2022-09-30T00:00:00.000Z,30,9,2022,3,6,185
2022-10-01T00:00:00.000Z,1,10,2022,4,7,186
2022-10-02T00:00:00.000Z,2,10,2022,4,1,187
2022-10-03T00:00:00.000Z,3,10,2022,4,2,188
2022-10-05T00:00:00.000Z,5,10,2022,4,4,189
2022-10-06T00:00:00.000Z,6,10,2022,4,5,190
2022-10-07T00:00:00.000Z,7,10,2022,4,6,191
2022-10-09T00:00:00.000Z,9,10,2022,4,1,192
2022-10-10T00:00:00.000Z,10,10,2022,4,2,193
2022-10-11T00:00:00.000Z,11,10,2022,4,3,194
2022-10-13T00:00:00.000Z,13,10,2022,4,5,195
2022-10-14T00:00:00.000Z,14,10,2022,4,6,196
2022-10-16T00:00:00.000Z,16,10,2022,4,1,197
2022-10-17T00:00:00.000Z,17,10,2022,4,2,198
2022-10-18T00:00:00.000Z,18,10,2022,4,3,199
2022-10-19T00:00:00.000Z,19,10,2022,4,4,200
2022-10-20T00:00:00.000Z,20,10,2022,4,5,201
2022-10-21T00:00:00.000Z,21,10,2022,4,6,202
2022-10-23T00:00:00.000Z,23,10,2022,4,1,203
2022-10-24T00:00:00.000Z,24,10,2022,4,2,204
2022-10-26T00:00:00.000Z,26,10,2022,4,4,205
2022-10-27T00:00:00.000Z,27,10,2022,4,5,206
2022-10-28T00:00:00.000Z,28,10,2022,4,6,207
2022-10-29T00:00:00.000Z,29,10,2022,4,7,208
2022-10-30T00:00:00.000Z,30,10,2022,4,1,209
2022-10-31T00:00:00.000Z,31,10,2022,4,2,210
2022-11-01T00:00:00.000Z,1,11,2022,4,3,211
2022-11-03T00:00:00.000Z,3,11,2022,4,5,212
2022-11-04T00:00:00.000Z,4,11,2022,4,6,213
2022-11-05T00:00:00.000Z,5,11,2022,4,7,214
2022-11-06T00:00:00.000Z,6,11,2022,4,1,215
2022-11-07T00:00:00.000Z,7,11,2022,4,2,216
2022-11-10T00:00:00.000Z,10,11,2022,4,5,217
2022-11-11T00:00:00.000Z,11,11,2022,4,6,218
2022-11-13T00:00:00.000Z,13,11,2022,4,1,219
2022-11-14T00:00:00.000Z,14,11,2022,4,2,220
2022-11-15T00:00:00.000Z,15,11,2022,4,3,221
2022-11-16T00:00:00.000Z,16,11,2022,4,4,222
2022-11-18T00:00:00.000Z,18,11,2022,4,6,223
2022-11-19T00:00:00.000Z,19,11,2022,4,7,224
2022-11-20T00:00:00.000Z,20,11,2022,4,1,225
2022-11-21T00:00:00.000Z,21,11,2022,4,2,226
2022-11-22T00:00:00.000Z,22,11,2022,4,3,227
2022-11-23T00:00:00.000Z,23,11,2022,4,4,228
2022-11-24T00:00:00.000Z,24,11,2022,4,5,229
2022-11-27T00:00:00.000Z,27,11,2022,4,1,230
2022-11-30T00:00:00.000Z,30,11,2022,4,4,231
2022-12-01T00:00:00.000Z,1,12,2022,4,5,232
2022-12-03T00:00:00.000Z,3,12,2022,4,7,233
2022-12-05T00:00:00.000Z,5,12,2022,4,2,234
2022-12-06T00:00:00.000Z,6,12,2022,4,3,235
2022-12-08T00:00:00.000Z,8,12,2022,4,5,236
2022-12-09T00:00:00.000Z,9,12,2022,4,6,237
2022-12-10T00:00:00.000Z,10,12,2022,4,7,238
2022-12-11T00:00:00.000Z,11,12,2022,4,1,239
2022-12-12T00:00:00.000Z,12,12,2022,4,2,240
2022-12-14T00:00:00.000Z,14,12,2022,4,4,241
2022-12-16T00:00:00.000Z,16,12,2022,4,6,242
2022-12-17T00:00:00.000Z,17,12,2022,4,7,243
2022-12-18T00:00:00.000Z,18,12,2022,4,1,244
2022-12-19T00:00:00.000Z,19,12,2022,4,2,245
2022-12-20T00:00:00.000Z,20,12,2022,4,3,246
2022-12-21T00:00:00.000Z,21,12,2022,4,4,247
2022-12-23T00:00:00.000Z,23,12,2022,4,6,248
2022-12-24T00:00:00.000Z,24,12,2022,4,7,249
2022-12-25T00:00:00.000Z,25,12,2022,4,1,250
2022-12-26T00:00:00.000Z,26,12,2022,4,2,251
2022-12-27T00:00:00.000Z,27,12,2022,4,3,252
2022-12-29T00:00:00.000Z,29,12,2022,4,5,253
2022-12-30T00:00:00.000Z,30,12,2022,4,6,254
2023-01-02T00:00:00.000Z,2,1,2023,1,2,255
2023-01-05T00:00:00.000Z,5,1,2023,1,5,256
2023-01-06T00:00:00.000Z,6,1,2023,1,6,257
2023-01-08T00:00:00.000Z,8,1,2023,1,1,258
2023-01-09T00:00:00.000Z,9,1,2023,1,2,259
2023-01-10T00:00:00.000Z,10,1,2023,1,3,260
2023-01-13T00:00:00.000Z,13,1,2023,1,6,261
2023-01-14T00:00:00.000Z,14,1,2023,1,7,262
2023-01-16T00:00:00.000Z,16,1,2023,1,2,263
2023-01-17T00:00:00.000Z,17,1,2023,1,3,264
2023-01-18T00:00:00.000Z,18,1,2023,1,4,265
2023-01-19T00:00:00.000Z,19,1,2023,1,5,266
2023-01-20T00:00:00.000Z,20,1,2023,1,6,267
2023-01-21T00:00:00.000Z,21,1,2023,1,7,268
2023-01-22T00:00:00.000Z,22,1,2023,1,1,269
2023-01-23T00:00:00.000Z,23,1,2023,1,2,270
2023-01-24T00:00:00.000Z,24,1,2023,1,3,271
2023-01-25T00:00:00.000Z,25,1,2023,1,4,272
2023-01-26T00:00:00.000Z,26,1,2023,1,5,273
2023-01-28T00:00:00.000Z,28,1,2023,1,7,274
2023-01-29T00:00:00.000Z,29,1,2023,1,1,275
2023-01-30T00:00:00.000Z,30,1,2023,1,2,276
2023-02-01T00:00:00.000Z,1,2,2023,1,4,277
2023-02-02T00:00:00.000Z,2,2,2023,1,5,278
2023-02-03T00:00:00.000Z,3,2,2023,1,6,279
2023-02-04T00:00:00.000Z,4,2,2023,1,7,280
2023-02-05T00:00:00.000Z,5,2,2023,1,1,281
2023-02-06T00:00:00.000Z,6,2,2023,1,2,282
2023-02-07T00:00:00.000Z,7,2,2023,1,3,283
2023-02-08T00:00:00.000Z,8,2,2023,1,4,284
2023-02-09T00:00:00.000Z,9,2,2023,1,5,285
2023-02-10T00:00:00.000Z,10,2,2023,1,6,286
2023-02-11T00:00:00.000Z,11,2,2023,1,7,287
2023-02-12T00:00:00.000Z,12,2,2023,1,1,288
2023-02-13T00:00:00.000Z,13,2,2023,1,2,289
2023-02-15T00:00:00.000Z,15,2,2023,1,4,290
2023-02-16T00:00:00.000Z,16,2,2023,1,5,291
2023-02-17T00:00:00.000Z,17,2,2023,1,6,292
2023-02-19T00:00:00.000Z,19,2,2023,1,1,293
2023-02-20T00:00:00.000Z,20,2,2023,1,2,294
2023-02-21T00:00:00.000Z,21,2,2023,1,3,295
2023-02-22T00:00:00.000Z,22,2,2023,1,4,296
2023-02-23T00:00:00.000Z,23,2,2023,1,5,297
2023-02-25T00:00:00.000Z,25,2,2023,1,7,298
2023-02-26T00:00:00.000Z,26,2,2023,1,1,299
2023-02-27T00:00:00.000Z,27,2,2023,1,2,300
2023-02-28T00:00:00.000Z,28,2,2023,1,3,301
2023-03-02T00:00:00.000Z,2,3,2023,1,5,302
2023-03-03T00:00:00.000Z,3,3,2023,1,6,303
2023-03-07T00:00:00.000Z,7,3,2023,1,3,304
2023-03-09T00:00:00.000Z,9,3,2023,1,5,305
2023-03-10T00:00:00.000Z,10,3,2023,1,6,306
2023-03-11T00:00:00.000Z,11,3,2023,1,7,307
2023-03-12T00:00:00.000Z,12,3,2023,1,1,308
2023-03-13T00:00:00.000Z,13,3,2023,1,2,309
2023-03-14T00:00:00.000Z,14,3,2023,1,3,310
2023-03-15T00:00:00.000Z,15,3,2023,1,4,311
2023-03-16T00:00:00.000Z,16,3,2023,1,5,312
2023-03-17T00:00:00.000Z,17,3,2023,1,6,313
2023-03-18T00:00:00.000Z,18,3,2023,1,7,314
2023-03-19T00:00:00.000Z,19,3,2023,1,1,315
2023-03-22T00:00:00.000Z,22,3,2023,1,4,316
2023-03-24T00:00:00.000Z,24,3,2023,1,6,317
2023-03-26T00:00:00.000Z,26,3,2023,1,1,318
2023-03-27T00:00:00.000Z,27,3,2023,1,2,319
2023-03-29T00:00:00.000Z,29,3,2023,1,4,320
2023-03-31T00:00:00.000Z,31,3,2023,1,6,321
2023-04-01T00:00:00.000Z,1,4,2023,2,7,322
2023-04-02T00:00:00.000Z,2,4,2023,2,1,323
2023-04-03T00:00:00.000Z,3,4,2023,2,2,324
2023-04-04T00:00:00.000Z,4,4,2023,2,3,325
2023-04-05T00:00:00.000Z,5,4,2023,2,4,326
2023-04-06T00:00:00.000Z,6,4,2023,2,5,327
2023-04-07T00:00:00.000Z,7,4,2023,2,6,328
2023-04-08T00:00:00.000Z,8,4,2023,2,7,329
2023-04-11T00:00:00.000Z,11,4,2023,2,3,330
2023-04-13T00:00:00.000Z,13,4,2023,2,5,331
2023-04-15T00:00:00.000Z,15,4,2023,2,7,332
2023-04-16T00:00:00.000Z,16,4,2023,2,1,333
2023-04-17T00:00:00.000Z,17,4,2023,2,2,334
2023-04-18T00:00:00.000Z,18,4,2023,2,3,335
2023-04-19T00:00:00.000Z,19,4,2023,2,4,336
2023-04-21T00:00:00.000Z,21,4,2023,2,6,337
2023-04-22T00:00:00.000Z,22,4,2023,2,7,338
2023-04-24T00:00:00.000Z,24,4,2023,2,2,339
2023-04-26T00:00:00.000Z,26,4,2023,2,4,340
2023-04-27T00:00:00.000Z,27,4,2023,2,5,341
2023-04-28T00:00:00.000Z,28,4,2023,2,6,342
2023-04-29T00:00:00.000Z,29,4,2023,2,7,343
2023-04-30T00:00:00.000Z,30,4,2023,2,1,344
2023-05-01T00:00:00.000Z,1,5,2023,2,2,345
2023-05-02T00:00:00.000Z,2,5,2023,2,3,346
2023-05-03T00:00:00.000Z,3,5,2023,2,4,347
2023-05-04T00:00:00.000Z,4,5,2023,2,5,348
2023-05-05T00:00:00.000Z,5,5,2023,2,6,349
